ball_id,match_id,innings_index,over,ball_in_over,ball_number,ball_index,batting_team,batsman,bowler,event_type,event_token,result_raw,is_wicket,is_boundary,bat_runs,extras_runs,innings_runs,innings_wickets,innings_overs,crr,target_runs,runs_remaining,balls_remaining,rrr,phase
ball:CWC_2011_final_ALL:1:3.3,CWC_2011_final_ALL,1,3,3,3.3,22,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,9,0,3.5,2.57,,,,,powerplay
ball:CWC_2011_final_ALL:1:3.4,CWC_2011_final_ALL,1,3,4,3.4,23,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,9,0,3.67,2.45,,,,,powerplay
ball:CWC_2011_final_ALL:1:3.5,CWC_2011_final_ALL,1,3,5,3.5,24,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,9,0,3.83,2.35,,,,,powerplay
ball:CWC_2011_final_ALL:1:3.6,CWC_2011_final_ALL,1,3,6,3.6,25,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,9,0,4.0,2.25,,,,,powerplay
ball:CWC_2011_final_ALL:1:4.1,CWC_2011_final_ALL,1,4,1,4.1,26,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,9,0,4.17,2.16,,,,,powerplay
ball:CWC_2011_final_ALL:1:4.2,CWC_2011_final_ALL,1,4,2,4.2,27,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,9,0,4.33,2.08,,,,,powerplay
ball:CWC_2011_final_ALL:1:4.3,CWC_2011_final_ALL,1,4,3,4.3,28,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,9,0,4.5,2.0,,,,,powerplay
ball:CWC_2011_final_ALL:1:4.4,CWC_2011_final_ALL,1,4,4,4.4,29,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,9,0,4.67,1.93,,,,,powerplay
ball:CWC_2011_final_ALL:1:4.5,CWC_2011_final_ALL,1,4,5,4.5,30,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,9,0,4.83,1.86,,,,,powerplay
ball:CWC_2011_final_ALL:1:4.6,CWC_2011_final_ALL,1,4,6,4.6,31,SL,Upul Tharanga,Khan,dot,•,no run,false,false,0,0,9,0,5.0,1.8,,,,,powerplay
ball:CWC_2011_final_ALL:1:5.1,CWC_2011_final_ALL,1,5,1,5.1,32,SL,Dilshan,Sreesanth,boundary,4,FOUR runs,false,true,4,0,13,0,5.17,2.52,,,,,powerplay
ball:CWC_2011_final_ALL:1:5.2,CWC_2011_final_ALL,1,5,2,5.2,33,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,13,0,5.33,2.44,,,,,powerplay
ball:CWC_2011_final_ALL:1:5.3,CWC_2011_final_ALL,1,5,3,5.3,34,SL,Dilshan,Sreesanth,boundary,4,FOUR runs,false,true,4,0,17,0,5.5,3.09,,,,,powerplay
ball:CWC_2011_final_ALL:1:5.4,CWC_2011_final_ALL,1,5,4,5.4,35,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,17,0,5.67,3.0,,,,,powerplay
ball:CWC_2011_final_ALL:1:5.5,CWC_2011_final_ALL,1,5,5,5.5,36,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,17,0,5.83,2.91,,,,,powerplay
ball:CWC_2011_final_ALL:1:5.6,CWC_2011_final_ALL,1,5,6,5.6,37,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,17,0,6.0,2.83,,,,,powerplay
ball:CWC_2011_final_ALL:1:6.1,CWC_2011_final_ALL,1,6,1,6.1,38,SL,Upul Tharanga,Khan,wicket,W,OUT,true,false,0,0,17,1,6.17,2.76,,,,,powerplay
ball:CWC_2011_final_ALL:1:6.2,CWC_2011_final_ALL,1,6,2,6.2,39,SL,Sangakkara,Khan,run,1,1 run,false,false,1,0,18,1,6.33,2.84,,,,,powerplay
ball:CWC_2011_final_ALL:1:6.3,CWC_2011_final_ALL,1,6,3,6.3,40,SL,Dilshan,Khan,run,1,1 run,false,false,1,0,19,1,6.5,2.92,,,,,powerplay
ball:CWC_2011_final_ALL:1:6.4,CWC_2011_final_ALL,1,6,4,6.4,41,SL,Sangakkara,Khan,dot,•,no run,false,false,0,0,19,1,6.67,2.85,,,,,powerplay
ball:CWC_2011_final_ALL:1:6.5,CWC_2011_final_ALL,1,6,5,6.5,42,SL,Sangakkara,Khan,dot,•,no run,false,false,0,0,19,1,6.83,2.78,,,,,powerplay
ball:CWC_2011_final_ALL:1:6.6,CWC_2011_final_ALL,1,6,6,6.6,43,SL,Sangakkara,Khan,dot,•,no run,false,false,0,0,19,1,7.0,2.71,,,,,powerplay
ball:CWC_2011_final_ALL:1:7.1,CWC_2011_final_ALL,1,7,1,7.1,44,SL,Dilshan,Patel,run,1,1 run,false,false,1,0,20,1,7.17,2.79,,,,,powerplay
ball:CWC_2011_final_ALL:1:7.2,CWC_2011_final_ALL,1,7,2,7.2,45,SL,Sangakkara,Patel,extra,1w,1 wide,false,false,0,1,21,1,7.17,2.93,,,,,powerplay
ball:CWC_2011_final_ALL:1:7.2,CWC_2011_final_ALL,1,7,2,7.2,46,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,21,1,7.33,2.86,,,,,powerplay
ball:CWC_2011_final_ALL:1:7.3,CWC_2011_final_ALL,1,7,3,7.3,47,SL,Sangakkara,Patel,run,1,1 run,false,false,1,0,22,1,7.5,2.93,,,,,powerplay
ball:CWC_2011_final_ALL:1:7.4,CWC_2011_final_ALL,1,7,4,7.4,48,SL,Dilshan,Patel,dot,•,no run,false,false,0,0,22,1,7.67,2.87,,,,,powerplay
ball:CWC_2011_final_ALL:1:7.5,CWC_2011_final_ALL,1,7,5,7.5,49,SL,Dilshan,Patel,run,2,2 runs,false,false,2,0,24,1,7.83,3.06,,,,,powerplay
ball:CWC_2011_final_ALL:1:7.6,CWC_2011_final_ALL,1,7,6,7.6,50,SL,Dilshan,Patel,dot,•,no run,false,false,0,0,24,1,8.0,3.0,,,,,powerplay
ball:CWC_2011_final_ALL:1:8.1,CWC_2011_final_ALL,1,8,1,8.1,51,SL,Sangakkara,Khan,run,1,1 run,false,false,1,0,25,1,8.17,3.06,,,,,powerplay
ball:CWC_2011_final_ALL:1:8.2,CWC_2011_final_ALL,1,8,2,8.2,52,SL,Dilshan,Khan,run,2,2 runs,false,false,2,0,27,1,8.33,3.24,,,,,powerplay
ball:CWC_2011_final_ALL:1:8.3,CWC_2011_final_ALL,1,8,3,8.3,53,SL,Dilshan,Khan,run,1,1 run,false,false,1,0,28,1,8.5,3.29,,,,,powerplay
ball:CWC_2011_final_ALL:1:8.4,CWC_2011_final_ALL,1,8,4,8.4,54,SL,Sangakkara,Khan,dot,•,no run,false,false,0,0,28,1,8.67,3.23,,,,,powerplay
ball:CWC_2011_final_ALL:1:8.5,CWC_2011_final_ALL,1,8,5,8.5,55,SL,Sangakkara,Khan,dot,•,no run,false,false,0,0,28,1,8.83,3.17,,,,,powerplay
ball:CWC_2011_final_ALL:1:8.6,CWC_2011_final_ALL,1,8,6,8.6,56,SL,Sangakkara,Khan,dot,•,no run,false,false,0,0,28,1,9.0,3.11,,,,,powerplay
ball:CWC_2011_final_ALL:1:9.1,CWC_2011_final_ALL,1,9,1,9.1,57,SL,Dilshan,Patel,dot,•,no run,false,false,0,0,28,1,9.17,3.05,,,,,powerplay
ball:CWC_2011_final_ALL:1:9.2,CWC_2011_final_ALL,1,9,2,9.2,58,SL,Dilshan,Patel,dot,•,no run,false,false,0,0,28,1,9.33,3.0,,,,,powerplay
ball:CWC_2011_final_ALL:1:9.3,CWC_2011_final_ALL,1,9,3,9.3,59,SL,Dilshan,Patel,run,2,2 runs,false,false,2,0,30,1,9.5,3.16,,,,,powerplay
ball:CWC_2011_final_ALL:1:9.4,CWC_2011_final_ALL,1,9,4,9.4,60,SL,Dilshan,Patel,dot,•,no run,false,false,0,0,30,1,9.67,3.1,,,,,powerplay
ball:CWC_2011_final_ALL:1:9.5,CWC_2011_final_ALL,1,9,5,9.5,61,SL,Dilshan,Patel,run,1,1 run,false,false,1,0,31,1,9.83,3.15,,,,,powerplay
ball:CWC_2011_final_ALL:1:9.6,CWC_2011_final_ALL,1,9,6,9.6,62,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,31,1,10.0,3.1,,,,,powerplay
ball:CWC_2011_final_ALL:1:10.1,CWC_2011_final_ALL,1,10,1,10.1,63,SL,Dilshan,Sreesanth,run,2,2 runs,false,false,2,0,33,1,10.17,3.25,,,,,middle
ball:CWC_2011_final_ALL:1:10.2,CWC_2011_final_ALL,1,10,2,10.2,64,SL,Dilshan,Sreesanth,dot,•,no run,false,false,0,0,33,1,10.33,3.19,,,,,middle
ball:CWC_2011_final_ALL:1:10.3,CWC_2011_final_ALL,1,10,3,10.3,65,SL,Dilshan,Sreesanth,run,1,1 run,false,false,1,0,34,1,10.5,3.24,,,,,middle
ball:CWC_2011_final_ALL:1:10.4,CWC_2011_final_ALL,1,10,4,10.4,66,SL,Sangakkara,Sreesanth,dot,•,no run,false,false,0,0,34,1,10.67,3.19,,,,,middle
ball:CWC_2011_final_ALL:1:10.5,CWC_2011_final_ALL,1,10,5,10.5,67,SL,Sangakkara,Sreesanth,dot,•,no run,false,false,0,0,34,1,10.83,3.14,,,,,middle
ball:CWC_2011_final_ALL:1:10.6,CWC_2011_final_ALL,1,10,6,10.6,68,SL,Sangakkara,Sreesanth,dot,•,no run,false,false,0,0,34,1,11.0,3.09,,,,,middle
ball:CWC_2011_final_ALL:1:11.1,CWC_2011_final_ALL,1,11,1,11.1,69,SL,Dilshan,Patel,run,1,1 run,false,false,1,0,35,1,11.17,3.13,,,,,middle
ball:CWC_2011_final_ALL:1:11.2,CWC_2011_final_ALL,1,11,2,11.2,70,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,35,1,11.33,3.09,,,,,middle
ball:CWC_2011_final_ALL:1:11.3,CWC_2011_final_ALL,1,11,3,11.3,71,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,35,1,11.5,3.04,,,,,middle
ball:CWC_2011_final_ALL:1:11.4,CWC_2011_final_ALL,1,11,4,11.4,72,SL,Sangakkara,Patel,boundary,4,FOUR runs,false,true,4,0,39,1,11.67,3.34,,,,,middle
ball:CWC_2011_final_ALL:1:11.5,CWC_2011_final_ALL,1,11,5,11.5,73,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,39,1,11.83,3.3,,,,,middle
ball:CWC_2011_final_ALL:1:11.6,CWC_2011_final_ALL,1,11,6,11.6,74,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,39,1,12.0,3.25,,,,,middle
ball:CWC_2011_final_ALL:1:12.1,CWC_2011_final_ALL,1,12,1,12.1,75,SL,Dilshan,Sreesanth,run,1,1 run,false,false,1,0,40,1,12.17,3.29,,,,,middle
ball:CWC_2011_final_ALL:1:12.2,CWC_2011_final_ALL,1,12,2,12.2,76,SL,Sangakkara,Sreesanth,boundary,4,FOUR runs,false,true,4,0,44,1,12.33,3.57,,,,,middle
ball:CWC_2011_final_ALL:1:12.3,CWC_2011_final_ALL,1,12,3,12.3,77,SL,Sangakkara,Sreesanth,boundary,4,FOUR runs,false,true,4,0,48,1,12.5,3.84,,,,,middle
ball:CWC_2011_final_ALL:1:12.4,CWC_2011_final_ALL,1,12,4,12.4,78,SL,Sangakkara,Sreesanth,dot,•,no run,false,false,0,0,48,1,12.67,3.79,,,,,middle
ball:CWC_2011_final_ALL:1:12.5,CWC_2011_final_ALL,1,12,5,12.5,79,SL,Sangakkara,Sreesanth,dot,•,no run,false,false,0,0,48,1,12.83,3.74,,,,,middle
ball:CWC_2011_final_ALL:1:12.6,CWC_2011_final_ALL,1,12,6,12.6,80,SL,Sangakkara,Sreesanth,extra,2nb,(no ball) 1 run,false,false,0,2,50,1,12.83,3.9,,,,,middle
ball:CWC_2011_final_ALL:1:12.6,CWC_2011_final_ALL,1,12,6,12.6,81,SL,Dilshan,Sreesanth,boundary,4,FOUR runs,false,true,4,0,54,1,13.0,4.15,,,,,middle
ball:CWC_2011_final_ALL:1:13.1,CWC_2011_final_ALL,1,13,1,13.1,82,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,54,1,13.17,4.1,,,,,middle
ball:CWC_2011_final_ALL:1:13.2,CWC_2011_final_ALL,1,13,2,13.2,83,SL,Sangakkara,Patel,run,1,1 run,false,false,1,0,55,1,13.33,4.12,,,,,middle
ball:CWC_2011_final_ALL:1:13.3,CWC_2011_final_ALL,1,13,3,13.3,84,SL,Dilshan,Patel,extra,1lb,1 leg bye,false,false,0,1,56,1,13.5,4.15,,,,,middle
ball:CWC_2011_final_ALL:1:13.4,CWC_2011_final_ALL,1,13,4,13.4,85,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,56,1,13.67,4.1,,,,,middle
ball:CWC_2011_final_ALL:1:13.5,CWC_2011_final_ALL,1,13,5,13.5,86,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,56,1,13.83,4.05,,,,,middle
ball:CWC_2011_final_ALL:1:13.6,CWC_2011_final_ALL,1,13,6,13.6,87,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,56,1,14.0,4.0,,,,,middle
ball:CWC_2011_final_ALL:1:14.1,CWC_2011_final_ALL,1,14,1,14.1,88,SL,Dilshan,Harbhajan,run,1,1 run,false,false,1,0,57,1,14.17,4.02,,,,,middle
ball:CWC_2011_final_ALL:1:14.2,CWC_2011_final_ALL,1,14,2,14.2,89,SL,Sangakkara,Harbhajan,run,1,1 run,false,false,1,0,58,1,14.33,4.05,,,,,middle
ball:CWC_2011_final_ALL:1:14.3,CWC_2011_final_ALL,1,14,3,14.3,90,SL,Dilshan,Harbhajan,dot,•,no run,false,false,0,0,58,1,14.5,4.0,,,,,middle
ball:CWC_2011_final_ALL:1:14.4,CWC_2011_final_ALL,1,14,4,14.4,91,SL,Dilshan,Harbhajan,dot,•,no run,false,false,0,0,58,1,14.67,3.95,,,,,middle
ball:CWC_2011_final_ALL:1:14.5,CWC_2011_final_ALL,1,14,5,14.5,92,SL,Dilshan,Harbhajan,dot,•,no run,false,false,0,0,58,1,14.83,3.91,,,,,middle
ball:CWC_2011_final_ALL:1:14.6,CWC_2011_final_ALL,1,14,6,14.6,93,SL,Dilshan,Harbhajan,dot,•,no run,false,false,0,0,58,1,15.0,3.87,,,,,middle
ball:CWC_2011_final_ALL:1:15.1,CWC_2011_final_ALL,1,15,1,15.1,94,SL,Sangakkara,Patel,run,1,1 run,false,false,1,0,59,1,15.17,3.89,,,,,middle
ball:CWC_2011_final_ALL:1:15.2,CWC_2011_final_ALL,1,15,2,15.2,95,SL,Dilshan,Patel,dot,•,no run,false,false,0,0,59,1,15.33,3.85,,,,,middle
ball:CWC_2011_final_ALL:1:15.3,CWC_2011_final_ALL,1,15,3,15.3,96,SL,Dilshan,Patel,dot,•,no run,false,false,0,0,59,1,15.5,3.81,,,,,middle
ball:CWC_2011_final_ALL:1:15.4,CWC_2011_final_ALL,1,15,4,15.4,97,SL,Dilshan,Patel,dot,•,no run,false,false,0,0,59,1,15.67,3.77,,,,,middle
ball:CWC_2011_final_ALL:1:15.5,CWC_2011_final_ALL,1,15,5,15.5,98,SL,Dilshan,Patel,run,1,1 run,false,false,1,0,60,1,15.83,3.79,,,,,middle
ball:CWC_2011_final_ALL:1:15.6,CWC_2011_final_ALL,1,15,6,15.6,99,SL,Sangakkara,Patel,dot,•,no run,false,false,0,0,60,1,16.0,3.75,,,,,middle
ball:CWC_2011_final_ALL:1:16.1,CWC_2011_final_ALL,1,16,1,16.1,100,SL,Dilshan,Harbhajan,dot,•,no run,false,false,0,0,60,1,16.17,3.71,,,,,middle
ball:CWC_2011_final_ALL:1:16.2,CWC_2011_final_ALL,1,16,2,16.2,101,SL,Dilshan,Harbhajan,dot,•,no run,false,false,0,0,60,1,16.33,3.67,,,,,middle
ball:CWC_2011_final_ALL:1:16.3,CWC_2011_final_ALL,1,16,3,16.3,102,SL,Dilshan,Harbhajan,wicket,W,OUT,true,false,0,0,60,2,16.5,3.64,,,,,middle
ball:CWC_2011_final_ALL:1:16.4,CWC_2011_final_ALL,1,16,4,16.4,103,SL,Mahela Jayawardene,Harbhajan,run,1,1 run,false,false,1,0,61,2,16.67,3.66,,,,,middle
ball:CWC_2011_final_ALL:1:16.5,CWC_2011_final_ALL,1,16,5,16.5,104,SL,Sangakkara,Harbhajan,run,1,1 run,false,false,1,0,62,2,16.83,3.68,,,,,middle
ball:CWC_2011_final_ALL:1:16.6,CWC_2011_final_ALL,1,16,6,16.6,105,SL,Mahela Jayawardene,Harbhajan,run,1,1 run,false,false,1,0,63,2,17.0,3.71,,,,,middle
ball:CWC_2011_final_ALL:1:17.1,CWC_2011_final_ALL,1,17,1,17.1,106,SL,Mahela Jayawardene,Patel,dot,•,no run,false,false,0,0,63,2,17.17,3.67,,,,,middle
ball:CWC_2011_final_ALL:1:17.2,CWC_2011_final_ALL,1,17,2,17.2,107,SL,Mahela Jayawardene,Patel,dot,•,no run,false,false,0,0,63,2,17.33,3.63,,,,,middle
ball:CWC_2011_final_ALL:1:17.3,CWC_2011_final_ALL,1,17,3,17.3,108,SL,Mahela Jayawardene,Patel,dot,•,no run,false,false,0,0,63,2,17.5,3.6,,,,,middle
ball:CWC_2011_final_ALL:1:17.4,CWC_2011_final_ALL,1,17,4,17.4,109,SL,Mahela Jayawardene,Patel,run,2,2 runs,false,false,2,0,65,2,17.67,3.68,,,,,middle
ball:CWC_2011_final_ALL:1:17.5,CWC_2011_final_ALL,1,17,5,17.5,110,SL,Mahela Jayawardene,Patel,dot,•,no run,false,false,0,0,65,2,17.83,3.64,,,,,middle
ball:CWC_2011_final_ALL:1:17.6,CWC_2011_final_ALL,1,17,6,17.6,111,SL,Mahela Jayawardene,Patel,dot,•,no run,false,false,0,0,65,2,18.0,3.61,,,,,middle
ball:CWC_2011_final_ALL:1:18.1,CWC_2011_final_ALL,1,18,1,18.1,112,SL,Sangakkara,Harbhajan,run,1,1 run,false,false,1,0,66,2,18.17,3.63,,,,,middle
ball:CWC_2011_final_ALL:1:18.2,CWC_2011_final_ALL,1,18,2,18.2,113,SL,Mahela Jayawardene,Harbhajan,run,1,1 run,false,false,1,0,67,2,18.33,3.65,,,,,middle
ball:CWC_2011_final_ALL:1:18.3,CWC_2011_final_ALL,1,18,3,18.3,114,SL,Sangakkara,Harbhajan,run,1,1 run,false,false,1,0,68,2,18.5,3.68,,,,,middle
ball:CWC_2011_final_ALL:1:18.4,CWC_2011_final_ALL,1,18,4,18.4,115,SL,Mahela Jayawardene,Harbhajan,boundary,4,FOUR runs,false,true,4,0,72,2,18.67,3.86,,,,,middle
ball:CWC_2011_final_ALL:1:18.5,CWC_2011_final_ALL,1,18,5,18.5,116,SL,Mahela Jayawardene,Harbhajan,run,1,1 run,false,false,1,0,73,2,18.83,3.88,,,,,middle
ball:CWC_2011_final_ALL:1:18.6,CWC_2011_final_ALL,1,18,6,18.6,117,SL,Sangakkara,Harbhajan,boundary,4,FOUR runs,false,true,4,0,77,2,19.0,4.05,,,,,middle
ball:CWC_2011_final_ALL:1:19.1,CWC_2011_final_ALL,1,19,1,19.1,118,SL,Mahela Jayawardene,Sreesanth,run,1,1 run,false,false,1,0,78,2,19.17,4.07,,,,,middle
ball:CWC_2011_final_ALL:1:19.2,CWC_2011_final_ALL,1,19,2,19.2,119,SL,Sangakkara,Sreesanth,run,1,1 run,false,false,1,0,79,2,19.33,4.09,,,,,middle
ball:CWC_2011_final_ALL:1:19.3,CWC_2011_final_ALL,1,19,3,19.3,120,SL,Mahela Jayawardene,Sreesanth,boundary,4,FOUR runs,false,true,4,0,83,2,19.5,4.26,,,,,middle
ball:CWC_2011_final_ALL:1:19.4,CWC_2011_final_ALL,1,19,4,19.4,121,SL,Mahela Jayawardene,Sreesanth,dot,•,no run,false,false,0,0,83,2,19.67,4.22,,,,,middle
ball:CWC_2011_final_ALL:1:19.5,CWC_2011_final_ALL,1,19,5,19.5,122,SL,Mahela Jayawardene,Sreesanth,dot,•,no run,false,false,0,0,83,2,19.83,4.18,,,,,middle
ball:CWC_2011_final_ALL:1:19.6,CWC_2011_final_ALL,1,19,6,19.6,123,SL,Mahela Jayawardene,Sreesanth,dot,•,no run,false,false,0,0,83,2,20.0,4.15,,,,,middle
ball:CWC_2011_final_ALL:1:20.1,CWC_2011_final_ALL,1,20,1,20.1,124,SL,Sangakkara,Harbhajan,dot,•,no run,false,false,0,0,83,2,20.17,4.12,,,,,middle
ball:CWC_2011_final_ALL:1:20.2,CWC_2011_final_ALL,1,20,2,20.2,125,SL,Sangakkara,Harbhajan,dot,•,no run,false,false,0,0,83,2,20.33,4.08,,,,,middle
ball:CWC_2011_final_ALL:1:20.3,CWC_2011_final_ALL,1,20,3,20.3,126,SL,Sangakkara,Harbhajan,dot,•,no run,false,false,0,0,83,2,20.5,4.05,,,,,middle
ball:CWC_2011_final_ALL:1:20.4,CWC_2011_final_ALL,1,20,4,20.4,127,SL,Sangakkara,Harbhajan,run,2,2 runs,false,false,2,0,85,2,20.67,4.11,,,,,middle
ball:CWC_2011_final_ALL:1:20.5,CWC_2011_final_ALL,1,20,5,20.5,128,SL,Sangakkara,Harbhajan,dot,•,no run,false,false,0,0,85,2,20.83,4.08,,,,,middle
ball:CWC_2011_final_ALL:1:20.6,CWC_2011_final_ALL,1,20,6,20.6,129,SL,Sangakkara,Harbhajan,run,1,1 run,false,false,1,0,86,2,21.0,4.1,,,,,middle
ball:CWC_2011_final_ALL:1:21.1,CWC_2011_final_ALL,1,21,1,21.1,130,SL,Sangakkara,Yuvraj,dot,•,no run,false,false,0,0,86,2,21.17,4.06,,,,,middle
ball:CWC_2011_final_ALL:1:21.2,CWC_2011_final_ALL,1,21,2,21.2,131,SL,Sangakkara,Yuvraj,run,1,1 run,false,false,1,0,87,2,21.33,4.08,,,,,middle
ball:CWC_2011_final_ALL:1:21.3,CWC_2011_final_ALL,1,21,3,21.3,132,SL,Mahela Jayawardene,Yuvraj,run,1,1 run,false,false,1,0,88,2,21.5,4.09,,,,,middle
ball:CWC_2011_final_ALL:1:21.4,CWC_2011_final_ALL,1,21,4,21.4,133,SL,Sangakkara,Yuvraj,run,1,1 run,false,false,1,0,89,2,21.67,4.11,,,,,middle
ball:CWC_2011_final_ALL:1:21.5,CWC_2011_final_ALL,1,21,5,21.5,134,SL,Mahela Jayawardene,Yuvraj,boundary,4,FOUR runs,false,true,4,0,93,2,21.83,4.26,,,,,middle
ball:CWC_2011_final_ALL:1:21.6,CWC_2011_final_ALL,1,21,6,21.6,135,SL,Mahela Jayawardene,Yuvraj,run,1,1 run,false,false,1,0,94,2,22.0,4.27,,,,,middle
ball:CWC_2011_final_ALL:1:22.1,CWC_2011_final_ALL,1,22,1,22.1,136,SL,Mahela Jayawardene,Harbhajan,run,1,1 run,false,false,1,0,95,2,22.17,4.29,,,,,middle
ball:CWC_2011_final_ALL:1:22.2,CWC_2011_final_ALL,1,22,2,22.2,137,SL,Sangakkara,Harbhajan,dot,•,no run,false,false,0,0,95,2,22.33,4.25,,,,,middle
